"No.","Time","Source","SRCPORT","Destination","DSTPORT","Protocol","Length","Info"
"492","4.967907000","ff:24:03:26:04:0e (MASTOGO-040E)","","localhost ()","","L2CAP","21","Rcvd Connection Parameter Update Request"
"496","4.983992000","localhost ()","","ff:24:03:26:04:0e (MASTOGO-040E)","","L2CAP","15","Sent Connection Parameter Update Response (Accepted)"
"547","5.353532000","localhost ()","","ff:24:03:26:04:0e (MASTOGO-040E)","","ATT","16","Sent Read By Type Request, Server Supported Features, Handles: 0x0001..0xffff"
"550","5.382406000","ff:24:03:26:04:0e (MASTOGO-040E)","","localhost ()","","ATT","14","Rcvd Error Response - Attribute Not Found, Handle: 0x0001 (Unknown)"
"552","6.029870000","localhost ()","","ff:24:03:26:04:0e (MASTOGO-040E)","","ATT","14","Sent Write Request, Handle: 0x001e (Unknown)"
"559","6.058410000","ff:24:03:26:04:0e (MASTOGO-040E)","","localhost ()","","ATT","10","Rcvd Write Response, Handle: 0x001e (Unknown)"
"840","8.940017000","localhost ()","","ff:24:03:26:04:0e (MASTOGO-040E)","","ATT","23","Sent Write Request, Handle: 0x0020 (Unknown)"
"847","8.966069000","ff:24:03:26:04:0e (MASTOGO-040E)","","localhost ()","","ATT","10","Rcvd Write Response, Handle: 0x0020 (Unknown)"
"848","8.981360000","ff:24:03:26:04:0e (MASTOGO-040E)","","localhost ()","","ATT","26","Rcvd Handle Value Notification, Handle: 0x001d (Unknown)"
"858","9.073247000","localhost ()","","ff:24:03:26:04:0e (MASTOGO-040E)","","ATT","22","Sent Write Request, Handle: 0x0020 (Unknown)"
"863","9.101108000","ff:24:03:26:04:0e (MASTOGO-040E)","","localhost ()","","ATT","10","Rcvd Write Response, Handle: 0x0020 (Unknown)"
"866","9.116134000","ff:24:03:26:04:0e (MASTOGO-040E)","","localhost ()","","ATT","25","Rcvd Handle Value Notification, Handle: 0x001d (Unknown)"
"879","9.204980000","localhost ()","","ff:24:03:26:04:0e (MASTOGO-040E)","","ATT","23","Sent Write Request, Handle: 0x0020 (Unknown)"
"885","9.236181000","ff:24:03:26:04:0e (MASTOGO-040E)","","localhost ()","","ATT","10","Rcvd Write Response, Handle: 0x0020 (Unknown)"
"889","9.252024000","ff:24:03:26:04:0e (MASTOGO-040E)","","localhost ()","","ATT","31","Rcvd Handle Value Notification, Handle: 0x001d (Unknown)"
"900","9.341204000","localhost ()","","ff:24:03:26:04:0e (MASTOGO-040E)","","ATT","23","Sent Write Request, Handle: 0x0020 (Unknown)"
"910","9.370906000","ff:24:03:26:04:0e (MASTOGO-040E)","","localhost ()","","ATT","10","Rcvd Write Response, Handle: 0x0020 (Unknown)"
"911","9.386231000","ff:24:03:26:04:0e (MASTOGO-040E)","","localhost ()","","ATT","26","Rcvd Handle Value Notification, Handle: 0x001d (Unknown)"
"923","9.477055000","localhost ()","","ff:24:03:26:04:0e (MASTOGO-040E)","","ATT","21","Sent Write Request, Handle: 0x0020 (Unknown)"
"927","9.511344000","ff:24:03:26:04:0e (MASTOGO-040E)","","localhost ()","","ATT","10","Rcvd Write Response, Handle: 0x0020 (Unknown)"
"932","9.521183000","ff:24:03:26:04:0e (MASTOGO-040E)","","localhost ()","","ATT","29","Rcvd Handle Value Notification, Handle: 0x001d (Unknown)"
"940","9.621481000","localhost ()","","ff:24:03:26:04:0e (MASTOGO-040E)","","ATT","22","Sent Write Request, Handle: 0x0020 (Unknown)"
"942","9.641280000","ff:24:03:26:04:0e (MASTOGO-040E)","","localhost ()","","ATT","10","Rcvd Write Response, Handle: 0x0020 (Unknown)"
"945","9.656153000","ff:24:03:26:04:0e (MASTOGO-040E)","","localhost ()","","ATT","23","Rcvd Handle Value Notification, Handle: 0x001d (Unknown)"
"1461","14.147929000","localhost ()","","ff:24:03:26:04:0e (MASTOGO-040E)","","ATT","22","Sent Write Request, Handle: 0x0020 (Unknown)"
"1465","14.172640000","ff:24:03:26:04:0e (MASTOGO-040E)","","localhost ()","","ATT","10","Rcvd Write Response, Handle: 0x0020 (Unknown)"
"1467","14.186463000","ff:24:03:26:04:0e (MASTOGO-040E)","","localhost ()","","ATT","23","Rcvd Handle Value Notification, Handle: 0x001d (Unknown)"
"1480","14.277873000","localhost ()","","ff:24:03:26:04:0e (MASTOGO-040E)","","ATT","25","Sent Write Request, Handle: 0x0020 (Unknown)"
"1482","14.306199000","ff:24:03:26:04:0e (MASTOGO-040E)","","localhost ()","","ATT","10","Rcvd Write Response, Handle: 0x0020 (Unknown)"
"1486","14.321145000","ff:24:03:26:04:0e (MASTOGO-040E)","","localhost ()","","ATT","22","Rcvd Handle Value Notification, Handle: 0x001d (Unknown)"
"1548","14.998813000","localhost ()","","ff:24:03:26:04:0e (MASTOGO-040E)","","ATT","25","Sent Write Request, Handle: 0x0020 (Unknown)"
"1554","15.026153000","ff:24:03:26:04:0e (MASTOGO-040E)","","localhost ()","","ATT","10","Rcvd Write Response, Handle: 0x0020 (Unknown)"
"1555","15.041197000","ff:24:03:26:04:0e (MASTOGO-040E)","","localhost ()","","ATT","22","Rcvd Handle Value Notification, Handle: 0x001d (Unknown)"
"1684","16.127611000","localhost ()","","ff:24:03:26:04:0e (MASTOGO-040E)","","ATT","25","Sent Write Request, Handle: 0x0020 (Unknown)"
"1687","16.151220000","ff:24:03:26:04:0e (MASTOGO-040E)","","localhost ()","","ATT","10","Rcvd Write Response, Handle: 0x0020 (Unknown)"
"1688","16.167920000","ff:24:03:26:04:0e (MASTOGO-040E)","","localhost ()","","ATT","22","Rcvd Handle Value Notification, Handle: 0x001d (Unknown)"
"2073","19.730221000","localhost ()","","ff:24:03:26:04:0e (MASTOGO-040E)","","ATT","25","Sent Write Request, Handle: 0x0020 (Unknown)"
"2081","19.751039000","ff:24:03:26:04:0e (MASTOGO-040E)","","localhost ()","","ATT","10","Rcvd Write Response, Handle: 0x0020 (Unknown)"
"2082","19.766366000","ff:24:03:26:04:0e (MASTOGO-040E)","","localhost ()","","ATT","22","Rcvd Handle Value Notification, Handle: 0x001d (Unknown)"
"2170","20.619856000","localhost ()","","ff:24:03:26:04:0e (MASTOGO-040E)","","ATT","25","Sent Write Request, Handle: 0x0020 (Unknown)"
"2180","20.652669000","ff:24:03:26:04:0e (MASTOGO-040E)","","localhost ()","","ATT","10","Rcvd Write Response, Handle: 0x0020 (Unknown)"
"2183","20.667791000","ff:24:03:26:04:0e (MASTOGO-040E)","","localhost ()","","ATT","22","Rcvd Handle Value Notification, Handle: 0x001d (Unknown)"
"2290","21.489945000","localhost ()","","ff:24:03:26:04:0e (MASTOGO-040E)","","ATT","25","Sent Write Request, Handle: 0x0020 (Unknown)"
"2297","21.521134000","ff:24:03:26:04:0e (MASTOGO-040E)","","localhost ()","","ATT","10","Rcvd Write Response, Handle: 0x0020 (Unknown)"
